title                                                                         , company                                                                , location                           , apply_link
Data Analyst                                                                  , Worldpay                                                               , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-analyst-at-worldpay-4395396958?position=1&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=uMKyJmNLntyXMBHzNsPbyQ%3D%3D
Business Data Analyst                                                         , Genpact                                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/business-data-analyst-at-genpact-4399632351?position=2&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=sf5HKoWpQ0F%2FlLJWpRYy2A%3D%3D
Data Analyst 2                                                                , Golden Technology                                                      , "Blue Ash, OH"                     , https://www.linkedin.com/jobs/view/data-analyst-2-at-golden-technology-4397259995?position=3&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=3EytMx94RROUynnb9gNe%2Bg%3D%3D
"Data Analyst (Advance Excel, VBA, Smartsheet)"                               , Genpact                                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-analyst-advance-excel-vba-smartsheet-at-genpact-4390166499?position=4&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=Ju2S7a%2FBmxMBdCv32mbMJg%3D%3D
Data Analyst (Power BI/SQL/Python)                                            , TEKsystems                                                             , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-analyst-power-bi-sql-python-at-teksystems-4405215659?position=5&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=DML92rt%2BvEcHbvBvj95ZxQ%3D%3D
Analyst Level 2                                                               , Kforce Inc                                                             , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/analyst-level-2-at-kforce-inc-4401314897?position=6&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=oW4LwvGMG1uhiHN98qVKwQ%3D%3D
Data Analyst                                                                  , "VEGA Americas, Inc."                                                  , "Mason, OH"                        , https://www.linkedin.com/jobs/view/data-analyst-at-vega-americas-inc-4404505327?position=7&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=D9nIN3usDgy78LTb%2FVv%2BTg%3D%3D
Analyst- AI Enabled Shopping                                                  , Golden Technology                                                      , "Blue Ash, OH"                     , https://www.linkedin.com/jobs/view/analyst-ai-enabled-shopping-at-golden-technology-4404436459?position=8&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=xruZMadZ7kD9x41tYN6Iog%3D%3D
Junior Business Intelligence Analyst                                          , Medpace                                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/junior-business-intelligence-analyst-at-medpace-4331596958?position=9&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=QDApYfZsRI1cmo27zaCafA%3D%3D
Data Standard Analyst - Biostatistics Team                                    , Medpace                                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-standard-analyst-biostatistics-team-at-medpace-4330528436?position=10&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=PkWoBQgikef9ePl1hQPZUQ%3D%3D
Data Analyst II                                                               , Total Quality Logistics                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-analyst-ii-at-total-quality-logistics-4393871320?position=11&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=REqzcCQT9CPSEascDTJxpw%3D%3D
Data Analyst (Power BI/SQL/Python)                                            , Jobs via Dice                                                          , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-analyst-power-bi-sql-python-at-jobs-via-dice-4404297493?position=12&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=CwLsd88iIOQYz9nGAdQ87g%3D%3D
Product Analyst                                                               , Agility Partners                                                       , Cincinnati Metropolitan Area       , https://www.linkedin.com/jobs/view/product-analyst-at-agility-partners-4400539341?position=13&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=NUZNG2so7JfFvk9nP6IZOQ%3D%3D
Product Analyst                                                               , Agility Partners                                                       , Cincinnati Metropolitan Area       , https://www.linkedin.com/jobs/view/product-analyst-at-agility-partners-4397370077?position=14&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=ehwFbNgkA%2FvnCbJxcW58VA%3D%3D
Bioinformatics Analyst                                                        , Cincinnati Children's                                                  , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/bioinformatics-analyst-at-cincinnati-children-s-4365380119?position=15&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=0Skie19Hk9Z4wqsff4RuNg%3D%3D
Clinical Data Intern - Fall 2026                                              , Medpace                                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/clinical-data-intern-fall-2026-at-medpace-4396316860?position=16&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=FnveSxr7W8t4IfFN4i2hEQ%3D%3D
Data Analyst                                                                  , Kanz                                                                   , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-analyst-at-kanz-4403852872?position=17&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=qPXB65OELIeWFLGaB08%2BiA%3D%3D
Business Intelligence Analyst                                                 , Pivotal Housing Partners                                               , "Hamilton, OH"                     , https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-pivotal-housing-partners-4406809372?position=18&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=TOYXCtFVU4a6Ty2uD%2B76Zw%3D%3D
Junior Data Engineer                                                          , Medpace                                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/junior-data-engineer-at-medpace-4354971289?position=19&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=YZkIPOOI%2FRI%2BKj%2FS0Ql5kw%3D%3D
Clinical Data Intern - Spring 2026                                            , Medpace                                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/clinical-data-intern-spring-2026-at-medpace-4304570998?position=20&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=nNyjd4O6weM1A27BTKrPIg%3D%3D
Business Intelligence Analyst                                                 , Formica Group North America                                            , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-formica-group-north-america-4379458159?position=21&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=U7aOJ%2B4BwfxXveRbAWoH%2Fw%3D%3D
Business Intelligence Analyst                                                 , American Modern Insurance Group                                        , Cincinnati Metropolitan Area       , https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-american-modern-insurance-group-4387864188?position=22&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=C0HAL%2Bmp82OLzHaqxK1PlQ%3D%3D
Business Controls Data Associate                                              , Fifth Third Bank                                                       , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/business-controls-data-associate-at-fifth-third-bank-4405364709?position=23&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=ewvF88lUvSICgEbzKViL4g%3D%3D
"Analyst, Business Intelligence"                                              , Acosta                                                                 , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/analyst-business-intelligence-at-acosta-4399916480?position=24&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=XC%2Fqd%2BO3r9f974T3TbI87g%3D%3D
Safety Data Analyst                                                           , Rumpke Waste & Recycling                                               , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/safety-data-analyst-at-rumpke-waste-recycling-4402275777?position=25&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=yQxe%2B5dta%2Bc%2F3MdJJ7Fwrg%3D%3D
Junior Data Engineer with python                                              , The Value Maximizer                                                    , "Ohio, OH"                         , https://www.linkedin.com/jobs/view/junior-data-engineer-with-python-at-the-value-maximizer-4398085939?position=26&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=IWGbaj4qTUuqlRAbZg8RMw%3D%3D
Investment Data & Operations Analyst                                          , "Constellation Insurance, Inc."                                        , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/investment-data-operations-analyst-at-constellation-insurance-inc-4403125641?position=27&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=wK13FshJmiyOvW8ZwMlMIw%3D%3D
Business Intelligence and Visualization Specialist                            , FBT Gibbons                                                            , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/business-intelligence-and-visualization-specialist-at-fbt-gibbons-4376827762?position=28&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=wNr1AgaezfT1Gxgt9CPwYg%3D%3D
Data Analyst - Specialty Equipment Services                                   , Great American Insurance Group                                         , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-analyst-specialty-equipment-services-at-great-american-insurance-group-4384879937?position=29&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=t24QmV9Ns0MvhVJf%2Bs0uTA%3D%3D
Business Intelligence Analyst - Data Engineering                              , Medpace                                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/business-intelligence-analyst-data-engineering-at-medpace-4368261634?position=30&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=%2BYnwDVVpp1tcmpjwQPS5jA%3D%3D
Junior Data Engineer                                                          , Western & Southern Financial Group                                     , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/junior-data-engineer-at-western-southern-financial-group-4398170878?position=31&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=0sj%2B6odKJeus2Iqhzcrf6g%3D%3D
Sr. Healthcare Compliance Analyst                                             , Kroger                                                                 , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/sr-healthcare-compliance-analyst-at-kroger-4398533586?position=32&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=PLC9Q0ZKycCxYr8JCJR1YQ%3D%3D
Manufacturing Inventory & Data Analyst                                        , United Dairy Farmers                                                   , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/manufacturing-inventory-data-analyst-at-united-dairy-farmers-4396892535?position=33&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=8z0SdJk%2Br4HUqEJFyoNI5Q%3D%3D
Senior Analyst – AI Enabled Shopping (Agentic AI)                             , Golden Technology                                                      , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/senior-analyst-%E2%80%93-ai-enabled-shopping-agentic-ai-at-golden-technology-4404289977?position=34&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=e2N3Qe5aY1UfIcLY%2BRjh6g%3D%3D
Data Developer / BI Analyst - Onsite                                          , Mammotome                                                              , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-developer-bi-analyst-onsite-at-mammotome-4400454131?position=35&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=QaF3s4T44eVLsXNOh1EW%2Bw%3D%3D
Business Intelligence Analyst                                                 , Total Quality Logistics                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-total-quality-logistics-4401119573?position=36&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=qbuBfZFz0xYfrpC7nczuPg%3D%3D
Data Engineer-DataStage                                                       , Encore Talent Solutions                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-engineer-datastage-at-encore-talent-solutions-4398046269?position=37&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=N1X5Ibr3bCQ%2BKTLRh%2BRc2A%3D%3D
