title,company,location,apply_link
Data Analyst,Aditya Birla Capital,"Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-aditya-birla-capital-4393216089?position=1&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=3c94VrhuDjYeNjZIqijYhw%3D%3D
Data Analyst (Stata) | Remote,Crossing Hurdles,India,https://in.linkedin.com/jobs/view/data-analyst-stata-remote-at-crossing-hurdles-4403960305?position=2&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=SNHlsvlpgWMAdW33pPaqWg%3D%3D
Data Analyst,Larsen & Toubro,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-larsen-toubro-4402228798?position=3&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=vpxjB70iJ%2BC4veXR%2FgIVhA%3D%3D
Data Analyst,PwC India,"Lucknow, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst-at-pwc-india-4399154671?position=4&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=tVdZieH5jA6XjZ2JqX9tHg%3D%3D
Data Analyst,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-infosys-4398766299?position=5&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=VftambKq%2FwH7SGmntA8QMQ%3D%3D
Data Analyst,Persistent Systems,"Pune City, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-persistent-systems-4395024903?position=6&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=7bEkOWbMeIrbGjK1l4dCJw%3D%3D
Data Analyst,EXL,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-exl-4401605319?position=7&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=waiPvSqbot7i%2Bse5pzhuxg%3D%3D
DATA ANALYST,Wipro,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-wipro-4395286966?position=8&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=i1vQ%2BgdIEuHRg79Tgli4xA%3D%3D
Data Analysis,EXL,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analysis-at-exl-4342246167?position=9&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=YJWinUrQ%2F%2FciCwa%2FNwTm7Q%3D%3D
Data Analyst,Deloitte,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-deloitte-4395604678?position=10&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=O9V49aWfKVjXISU7CEYV2Q%3D%3D
Analyst - T&S,Swiggy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-t-s-at-swiggy-4404265677?position=11&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=BnwzmcSR3Mzkg5o1ISgjOw%3D%3D
